program_id,pathway,priority_tier_step07,collection,LUAD_clinical_support,LUSC_clinical_support,meta_clinical_support,PH_pass,mutation_support,CNV_support,methylation_support,RPPA_support,multiomics_support_count,final_tier
Tier 2_All_immune_Hallmark_HALLMARK_GLYCOLYSIS,HALLMARK_HALLMARK_GLYCOLYSIS,Tier 2,Hallmark,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,Tier_A
Tier 2_All_immune_Hallmark_HALLMARK_HYPOXIA,HALLMARK_HALLMARK_HYPOXIA,Tier 2,Hallmark,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
Tier 2_M_CXCL10_Hallmark_HALLMARK_GLYCOLYSIS,HALLMARK_HALLMARK_GLYCOLYSIS,Tier 2,Hallmark,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
Tier 2_Myeloid_cell_Hallmark_HALLMARK_HYPOXIA,HALLMARK_HALLMARK_HYPOXIA,Tier 2,Hallmark,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
Tier 2_T_NK_cell_Hallmark_HALLMARK_GLYCOLYSIS,HALLMARK_HALLMARK_GLYCOLYSIS,Tier 2,Hallmark,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,HALLMARK_HALLMARK_APICAL_JUNCTION,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_All_immune_Hallmark_HALLMARK_APOPTOSIS,HALLMARK_HALLMARK_APOPTOSIS,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_All_immune_Hallmark_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
Tier 2_All_immune_Hallmark_HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_HALLMARK_ESTROGEN_RESPONSE_EARLY,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_All_immune_Hallmark_HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_HALLMARK_IL2_STAT5_SIGNALING,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_All_immune_Hallmark_HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_HALLMARK_INTERFERON_ALPHA_RESPONSE,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_All_immune_Hallmark_HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_HALLMARK_INTERFERON_GAMMA_RESPONSE,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_All_immune_Hallmark_HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_HALLMARK_XENOBIOTIC_METABOLISM,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_CD8T_Trm_ZNF683_Hallmark_HALLMARK_COMPLEMENT,HALLMARK_HALLMARK_COMPLEMENT,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_CD8T_Trm_ZNF683_Hallmark_HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_HALLMARK_ESTROGEN_RESPONSE_LATE,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,
Tier 2_CD8T_Trm_ZNF683_Hallmark_HALLMARK_GLYCOLYSIS,HALLMARK_HALLMARK_GLYCOLYSIS,Tier 2,Hallmark,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
Tier 2_CD8T_Trm_ZNF683_Hallmark_HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_HALLMARK_INTERFERON_ALPHA_RESPONSE,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_CD8T_Trm_ZNF683_Hallmark_HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_HALLMARK_INTERFERON_GAMMA_RESPONSE,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_CD8T_prf_MKI67_Hallmark_HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_HALLMARK_INTERFERON_ALPHA_RESPONSE,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_CD8T_prf_MKI67_Hallmark_HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_HALLMARK_INTERFERON_GAMMA_RESPONSE,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_CD8T_prf_MKI67_Hallmark_HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
Tier 2_ILC3_KIT_Hallmark_HALLMARK_APOPTOSIS,HALLMARK_HALLMARK_APOPTOSIS,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_ILC3_KIT_Hallmark_HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_HALLMARK_INTERFERON_ALPHA_RESPONSE,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_M_CXCL10_Hallmark_HALLMARK_COMPLEMENT,HALLMARK_HALLMARK_COMPLEMENT,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,
Tier 2_M_CXCL10_Hallmark_HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_HALLMARK_FATTY_ACID_METABOLISM,Tier 2,Hallmark,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
