"cohort","NES","PValue","FDR","ES","size","n_leading_edge","fgsea_version","MSigDB_version"
"primary",-2.3588672914425,4.90097108821063e-12,3.00184479152901e-11,-0.485912536884182,170,70,"1.38.0","2024.1.Hs"
"strict",-2.41262372422412,1.07307199529693e-12,7.51150396707851e-12,-0.487569887860713,170,65,"1.38.0","2024.1.Hs"
