"cell_type","has_result","NES","PValue","FDR","n_leading_edge","direction"
"All_immune",TRUE,-2.3588672914425,4.90097108821063e-12,3.00184479152901e-11,70,"Higher_in_Non_responder"
"cDC2_CD1C",TRUE,-2.42325342101672,2.43183674492432e-10,2.79661225666297e-09,41,"Higher_in_Non_responder"
"Myeloid_cell",TRUE,-2.26555469033214,8.02669795962521e-10,4.91635250027044e-09,60,"Higher_in_Non_responder"
"T_NK_cell",TRUE,-2.18012790636686,8.26524611252417e-09,5.06246324392105e-08,70,"Higher_in_Non_responder"
"CD8T_Trm_ZNF683",TRUE,-1.7941479391251,0.000249265790525991,0.00182794913052394,25,"Higher_in_Non_responder"
"ILC3_KIT",TRUE,-1.78858934502217,0.00582710516798517,0.0339914468132468,8,"Higher_in_Non_responder"
"CD8T_prf_MKI67",TRUE,-1.72884967992176,0.00440219299809633,0.0150408260768291,21,"Higher_in_Non_responder"
"M_CXCL10",TRUE,-1.70155740749279,0.0022239574060974,0.0127083280348423,21,"Higher_in_Non_responder"
