"package","version"
"RSQLite","3.53.3"
"rstatix","1.0.0"
"rstudioapi","0.19.0"
"rsvd","1.0.5"
"rvest","1.0.5"
"S4Arrays","1.12.0"
"S4Vectors","0.50.1"
"S7","0.2.2"
"sandwich","3.1-1"
"sass","0.4.10"
"ScaledMatrix","1.20.0"
"scales","1.4.0"
"scattermore","1.2"
"selectr","0.6-0"
"Seqinfo","1.2.0"
"shape","1.4.6.1"
"SingleCellExperiment","1.34.0"
"snakecase","0.11.1"
"snow","0.4-4"
"SparseArray","1.12.2"
"SparseM","1.84-2"
"sparseMatrixStats","1.24.0"
"spatial","7.3-18"
"SpatialExperiment","1.22.0"
"splines","4.6.1"
"statmod","1.5.2"
"stats","4.6.1"
"stats4","4.6.1"
"stringi","1.8.7"
"stringr","1.6.0"
"SummarizedExperiment","1.42.0"
"survey","4.5"
"survival","3.8-9"
"survminer","0.5.2"
"sys","3.4.3"
"systemfonts","1.3.2"
"tableone","0.13.2"
"TCGAbiolinks","2.40.0"
"TCGAbiolinksGUI.data","1.32.0"
"tcltk","4.6.1"
"textshaping","1.0.5"
"TH.data","1.1-5"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.60"
"tools","4.6.1"
"tzdb","0.5.0"
"urca","1.3-4"
"utf8","1.2.6"
"utils","4.6.1"
"uuid","1.2-2"
"vctrs","0.7.3"
"venn","1.13"
"viridisLite","0.4.3"
"vroom","1.7.1"
"withr","3.0.3"
"writexl","1.5.4"
"xfun","0.59"
"XML","3.99-0.23"
"xml2","1.6.0"
"xtable","1.8-8"
"XVector","0.52.0"
"yaml","2.3.12"
"yulab.utils","0.2.4"
"zip","3.0.1"
"zoo","1.8-15"
