"Item","Value"
"Total patients",243
"LUAD",NA
"LUSC",NA
"pCR",79
"MPR",34
"non-MPR",99
"Treatment: anti-PD1",234
"Treatment: chemoimmunotherapy",213
"Treatment: chemo only",9
